Nominal mass	Compositions	Charges
262	H11C9N2O6F,H11C8CxN2O6F,H11C9N2O5OxF,H11C7Cx2N2O6F,H11C6Cx3N2O6F	-1,1
262	H14C9N2O5S,H14C8CxN2O5S,H14C9N2O5Sx,H14C9N2O4OxS,H14C7Cx2N2O5S,H14C6Cx3N2O5S	-1,1
262	H10C17O3,H10C16CxO3,H10C17O2Ox,H10C15Cx2O3,H10C14Cx3O3	-1,1
262	H15C8O8Na,H15C7CxO8Na,H15C8O7OxNa,H15C6Cx2O8Na,H15C5Cx3O8Na	-1,1
262	H10C16N2O2,H10C15CxN2O2,H10C16N2OOx,H10C14Cx2N2O2,H10C13Cx3N2O2	-1,1
262	H14C13N2O2S,H14C12CxN2O2S,H14C13N2O2Sx,H14C13N2OOxS,H14C11Cx2N2O2S,H14C10Cx3N2O2S	1
262	H14C9N2O7,H14C8CxN2O7,H14C9N2O6Ox,H14C7Cx2N2O7,H14C6Cx3N2O7	-1,1
262	H14C18S,H14C17CxS,H14C18Sx,H14C16Cx2S,H14C15Cx3S	-1,1
262	H14C14O5,H14C13CxO5,H14C14O4Ox,H14C12Cx2O5,H14C11Cx3O5	-1,1
262	H10C15N4O,H10C14CxN4O,H10C13Cx2N4O,H10C12Cx3N4O	1
262	H14C12N4OS,H14C11CxN4OS,H14C12N4OSx,H14C10Cx2N4OS,H14C9Cx3N4OS	1
262	H14C13N2O4,H14C12CxN2O4,H14C13N2O3Ox,H14C11Cx2N2O4,H14C10Cx3N2O4	-1,1
262	H18C10N2O4S,H18C9CxN2O4S,H18C10N2O4Sx,H18C10N2O3OxS,H18C8Cx2N2O4S,H18C7Cx3N2O4S	-1,1
262	H14C18O2,H14C17CxO2,H14C18OOx,H14C16Cx2O2,H14C15Cx3O2	-1,1
262	H18C11O7,H18C10CxO7,H18C11O6Ox,H18C9Cx2O7,H18C8Cx3O7	-1,1
262	H18C10N2O6,H18C9CxN2O6,H18C10N2O5Ox,H18C8Cx2N2O6,H18C7Cx3N2O6	-1,1
262	H14C11N6O2,H14C10CxN6O2,H14C11N6OOx,H14C9Cx2N6O2,H14C8Cx3N6O2	1
262	H16C13N3O3,H16C12CxN3O3,H16C13N3O2Ox,H16C11Cx2N3O3,H16C10Cx3N3O3	1
262	H18C15O4,H18C14CxO4,H18C15O3Ox,H18C13Cx2O4,H18C12Cx3O4	-1,1
262	H14C16N4,H14C15CxN4,H14C14Cx2N4,H14C13Cx3N4	-1,1
262	H22C12O4S,H22C11CxO4S,H22C12O4Sx,H22C12O3OxS,H22C10Cx2O4S,H22C9Cx3O4S	-1
262	H18C14N2O3,H18C13CxN2O3,H18C14N2O2Ox,H18C12Cx2N2O3,H18C11Cx3N2O3	-1,1
262	H22C11N2O3S,H22C10CxN2O3S,H22C11N2O3Sx,H22C11N2O2OxS,H22C9Cx2N2O3S,H22C8Cx3N2O3S	-1,1
262	H18C8N6O4,H18C7CxN6O4,H18C8N6O3Ox,H18C6Cx2N6O4,H18C5Cx3N6O4	-1,1
262	H22C12O6,H22C11CxO6,H22C12O5Ox,H22C10Cx2O6,H22C9Cx3O6	-1,1
262	H22C16O3,H22C15CxO3,H22C16O2Ox,H22C14Cx2O3,H22C13Cx3O3	-1,1
262	H22C15N2O2,H22C14CxN2O2,H22C15N2OOx,H22C13Cx2N2O2,H22C12Cx3N2O2	-1,1
262	H26C13O5,H26C12CxO5,H26C13O4Ox,H26C11Cx2O5,H26C10Cx3O5	-1,1
262	H26C17O2,H26C16CxO2,H26C17OOx,H26C15Cx2O2,H26C14Cx3O2	-1,1
262	H30C18O,H30C17CxO,H30C16Cx2O,H30C15Cx3O	-1,1
263	H14C10NO3SCl,H14C9CxNO3SCl,H14C10NO3SxCl,H14C10NO3SClx,H14C10NO2OxSCl,H14C8Cx2NO3SCl,H14C7Cx3NO3SCl	-1
263	H13C9NO6S,H13C8CxNO6S,H13C9NO6Sx,H13C9NO5OxS,H13C7Cx2NO6S,H13C6Cx3NO6S	-1,1
263	H13C12N3S2,H13C11CxN3S2,H13C12N3SSx,H13C10Cx2N3S2,H13C9Cx3N3S2	-1
263	H17C14NS2,H17C13CxNS2,H17C14NSSx,H17C12Cx2NS2,H17C11Cx3NS2	1
263	H14C13N3OCl,H14C12CxN3OCl,H14C13N3OClx,H14C11Cx2N3OCl,H14C10Cx3N3OCl	-1,1
263	H17C10NO5S,H17C9CxNO5S,H17C10NO5Sx,H17C10NO4OxS,H17C8Cx2NO5S,H17C7Cx3NO5S	-1,1
263	H13C11N5OS,H13C10CxN5OS,H13C11N5OSx,H13C9Cx2N5OS,H13C8Cx3N5OS	-1,1
263	H17C10NO7,H17C9CxNO7,H17C10NO6Ox,H17C8Cx2NO7,H17C7Cx3NO7	-1,1
263	H17C14NO4,H17C13CxNO4,H17C14NO3Ox,H17C12Cx2NO4,H17C11Cx3NO4	-1,1
263	H18C14N3Cl,H18C13CxN3Cl,H18C14N3Clx,H18C12Cx2N3Cl,H18C11Cx3N3Cl	1
263	H21C11NO4S,H21C10CxNO4S,H21C11NO4Sx,H21C11NO3OxS,H21C9Cx2NO4S,H21C8Cx3NO4S	-1,1
263	H17C13N3O3,H17C12CxN3O3,H17C13N3O2Ox,H17C11Cx2N3O3,H17C10Cx3N3O3	1
263	H21C10N3O3S,H21C9CxN3O3S,H21C10N3O3Sx,H21C10N3O2OxS,H21C8Cx2N3O3S,H21C7Cx3N3O3S	-1
263	H25C12NOS2,H25C11CxNOS2,H25C12NOSSx,H25C10Cx2NOS2,H25C9Cx3NOS2	1
263	H21C14N3S,H21C13CxN3S,H21C14N3Sx,H21C12Cx2N3S,H21C11Cx3N3S	-1,1
263	H21C15NO3,H21C14CxNO3,H21C15NO2Ox,H21C13Cx2NO3,H21C12Cx3NO3	-1,1
263	H25C12NO3S,H25C11CxNO3S,H25C12NO3Sx,H25C12NO2OxS,H25C10Cx2NO3S,H25C9Cx3NO3S	1
263	H17C10N9,H17C9CxN9,H17C8Cx2N9,H17C7Cx3N9	-1,1
263	H21C13N5O,H21C12CxN5O,H21C11Cx2N5O,H21C10Cx3N5O	1
263	H25C16NO2,H25C15CxNO2,H25C16NOOx,H25C14Cx2NO2,H25C13Cx3NO2	1
263	H33C18N,H33C17CxN,H33C16Cx2N,H33C15Cx3N	1
264	HC6OCl5,HC5CxOCl5,HC6OCl4Clx,HC4Cx2OCl5,HC3Cx3OCl5	-1
264	HC5O2F9,HC4CxO2F9,HC5OOxF9,HC3Cx2O2F9,HC2Cx3O2F9	-1
264	H15C8O3Cl3,H15C7CxO3Cl3,H15C8O3Cl2Clx,H15C8O2OxCl3,H15C6Cx2O3Cl3,H15C5Cx3O3Cl3	-1,1
264	O2Th,OOxTh	-1,1
264	H9C12N2O3Cl,H9C11CxN2O3Cl,H9C12N2O3Clx,H9C12N2O2OxCl,H9C10Cx2N2O3Cl,H9C9Cx3N2O3Cl	-1
264	H12C9O7S,H12C8CxO7S,H12C9O7Sx,H12C9O6OxS,H12C7Cx2O7S,H12C6Cx3O7S	-1
264	H8C16O4,H8C15CxO4,H8C16O3Ox,H8C14Cx2O4,H8C13Cx3O4	-1,1
264	H12C13O4S,H12C12CxO4S,H12C13O4Sx,H12C13O3OxS,H12C11Cx2O4S,H12C10Cx3O4S	-1,1
264	H14C15Cl2,H14C14CxCl2,H14C15ClClx,H14C13Cx2Cl2,H14C12Cx3Cl2	-1
264	H13C13N2SCl,H13C12CxN2SCl,H13C13N2SxCl,H13C13N2SClx,H13C11Cx2N2SCl,H13C10Cx3N2SCl	-1
264	H8C10N4O5,H8C9CxN4O5,H8C10N4O4Ox,H8C8Cx2N4O5,H8C7Cx3N4O5	-1
264	H7C13N2OF3,H7C12CxN2OF3,H7C11Cx2N2OF3,H7C10Cx3N2OF3	-1
264	H16C14OS2,H16C13CxOS2,H16C14OSSx,H16C12Cx2OS2,H16C11Cx3OS2	-1,1
264	H13C13N2O2Cl,H13C12CxN2O2Cl,H13C13N2O2Clx,H13C13N2OOxCl,H13C11Cx2N2O2Cl,H13C10Cx3N2O2Cl	-1
264	H16C10O8,H16C9CxO8,H16C10O7Ox,H16C8Cx2O8,H16C7Cx3O8	-1,1
264	H12C11N4O4,H12C10CxN4O4,H12C11N4O3Ox,H12C9Cx2N4O4,H12C8Cx3N4O4	-1
264	H16C14O5,H16C13CxO5,H16C14O4Ox,H16C12Cx2O5,H16C11Cx3O5	-1,1
264	H20C11O5S,H20C10CxO5S,H20C11O5Sx,H20C11O4OxS,H20C9Cx2O5S,H20C8Cx3O5S	-1
264	H16C12N4OS,H16C11CxN4OS,H16C12N4OSx,H16C10Cx2N4OS,H16C9Cx3N4OS	-1,1
264	H16C13N2O4,H16C12CxN2O4,H16C13N2O3Ox,H16C11Cx2N2O4,H16C10Cx3N2O4	-1,1
264	H16C18O2,H16C17CxO2,H16C18OOx,H16C16Cx2O2,H16C15Cx3O2	1
264	H20C14N2OS,H20C13CxN2OS,H20C14N2OSx,H20C12Cx2N2OS,H20C11Cx3N2OS	1
264	H20C15O4,H20C14CxO4,H20C15O3Ox,H20C13Cx2O4,H20C12Cx3O4	-1,1
264	H24C12O4S,H24C11CxO4S,H24C12O4Sx,H24C12O3OxS,H24C10Cx2O4S,H24C9Cx3O4S	-1,1
264	H20C14N2O3,H20C13CxN2O3,H20C14N2O2Ox,H20C12Cx2N2O3,H20C11Cx3N2O3	-1,1
264	H20C19O,H20C18CxO,H20C17Cx2O,H20C16Cx3O	1
264	H24C12O6,H24C11CxO6,H24C12O5Ox,H24C10Cx2O6,H24C9Cx3O6	-1,1
264	H20C13N4O2,H20C12CxN4O2,H20C13N4OOx,H20C11Cx2N4O2,H20C10Cx3N4O2	-1,1
264	H24C16O3,H24C15CxO3,H24C16O2Ox,H24C14Cx2O3,H24C13Cx3O3	-1,1
264	H24C15N2O2,H24C14CxN2O2,H24C15N2OOx,H24C13Cx2N2O2,H24C12Cx3N2O2	-1,1
264	H28C17O2,H28C16CxO2,H28C17OOx,H28C15Cx2O2,H28C14Cx3O2	-1,1
264	H32C18O,H32C17CxO,H32C16Cx2O,H32C15Cx3O	1
265	H10C10NOCl3,H10C9CxNOCl3,H10C10NOCl2Clx,H10C8Cx2NOCl3,H10C7Cx3NOCl3	-1
265	H15C13NO5,H15C12CxNO5,H15C13NO4Ox,H15C11Cx2NO5,H15C10Cx3NO5	-1,1
265	Rf	1
265	H15C11N5O3,H15C10CxN5O3,H15C11N5O2Ox,H15C9Cx2N5O3,H15C8Cx3N5O3	-1,1
265	H19C14NO4,H19C13CxNO4,H19C14NO3Ox,H19C12Cx2NO4,H19C11Cx3NO4	-1,1
265	H15C15N5,H15C14CxN5,H15C13Cx2N5,H15C12Cx3N5	1
265	H19C13N3O3,H19C12CxN3O3,H19C13N3O2Ox,H19C11Cx2N3O3,H19C10Cx3N3O3	-1,1
265	H23C15NO3,H23C14CxNO3,H23C15NO2Ox,H23C13Cx2NO3,H23C12Cx3NO3	-1,1
265	H27C16NO2,H27C15CxNO2,H27C16NOOx,H27C14Cx2NO2,H27C13Cx3NO2	1
265	H31C17NO,H31C16CxNO,H31C15Cx2NO,H31C14Cx3NO	1
266	C2O6Na3K2-H,CCxO6Na3K2-H,C2O6Na3KKx-H	1
266	H12O6Cl2Sr,H12O5OxCl2Sr	-1
266	H8C3O10P2,H8C2CxO10P2,H8C3O9OxP2,H8CCx2O10P2	-1
266	H18N6Cl3Co,H18N6Cl2ClxCo	-1
266	H7C11N2O4Cl,H7C10CxN2O4Cl,H7C11N2O4Clx,H7C11N2O3OxCl,H7C9Cx2N2O4Cl,H7C8Cx3N2O4Cl	-1
266	H10C11N2O2S2,H10C10CxN2O2S2,H10C11N2O2SSx,H10C11N2OOxS2,H10C9Cx2N2O2S2,H10C8Cx3N2O2S2	1
266	H15C8N2I,H15C7CxN2I,H15C6Cx2N2I,H15C5Cx3N2I	-1
266	H11C12N2OSCl,H11C11CxN2OSCl,H11C12N2OSxCl,H11C12N2OSClx,H11C10Cx2N2OSCl,H11C9Cx3N2OSCl	-1
266	H12C13N2Cl2,H12C12CxN2Cl2,H12C13N2ClClx,H12C11Cx2N2Cl2,H12C10Cx3N2Cl2	-1
266	H11C11N4O2Cl,H11C10CxN4O2Cl,H11C11N4O2Clx,H11C11N4OOxCl,H11C9Cx2N4O2Cl,H11C8Cx3N4O2Cl	1
266	H18C10O4S2,H18C9CxO4S2,H18C10O4SSx,H18C10O3OxS2,H18C8Cx2O4S2,H18C7Cx3O4S2	-1,1
266	H10C10N4O5,H10C9CxN4O5,H10C10N4O4Ox,H10C8Cx2N4O5,H10C7Cx3N4O5	-1
266	H10C15N2O3,H10C14CxN2O3,H10C15N2O2Ox,H10C13Cx2N2O3,H10C12Cx3N2O3	-1,1
266	H11C17O2F,H11C16CxO2F,H11C17OOxF,H11C15Cx2O2F,H11C14Cx3O2F	-1
266	H14C13O6,H14C12CxO6,H14C13O5Ox,H14C11Cx2O6,H14C10Cx3O6	-1,1
266	H15C13N2O2Cl,H15C12CxN2O2Cl,H15C13N2O2Clx,H15C13N2OOxCl,H15C11Cx2N2O2Cl,H15C10Cx3N2O2Cl	-1
266	H14C12N2O5,H14C11CxN2O5,H14C12N2O4Ox,H14C10Cx2N2O5,H14C9Cx3N2O5	-1,1
266	H18C10O8,H18C9CxO8,H18C10O7Ox,H18C8Cx2O8,H18C7Cx3O8	-1,1
266	H14C11N4O4,H14C10CxN4O4,H14C11N4O3Ox,H14C9Cx2N4O4,H14C8Cx3N4O4	-1,1
266	H14C16N2O2,H14C15CxN2O2,H14C16N2OOx,H14C14Cx2N2O2,H14C13Cx3N2O2	1
266	H18C14O5,H18C13CxO5,H18C14O4Ox,H18C12Cx2O5,H18C11Cx3O5	-1,1
266	H19C14N2OCl,H19C13CxN2OCl,H19C14N2OClx,H19C12Cx2N2OCl,H19C11Cx3N2OCl	-1,1
266	H18C13N2O4,H18C12CxN2O4,H18C13N2O3Ox,H18C11Cx2N2O4,H18C10Cx3N2O4	-1,1
266	H18C18O2,H18C17CxO2,H18C18OOx,H18C16Cx2O2,H18C15Cx3O2	-1,1
266	H18C12N4O3,H18C11CxN4O3,H18C12N4O2Ox,H18C10Cx2N4O3,H18C9Cx3N4O3	-1,1
266	H22C15O4,H22C14CxO4,H22C15O3Ox,H22C13Cx2O4,H22C12Cx3O4	-1,1
266	H18C16N4,H18C15CxN4,H18C14Cx2N4,H18C13Cx3N4	-1
266	H23C15N2Cl,H23C14CxN2Cl,H23C15N2Clx,H23C13Cx2N2Cl,H23C12Cx3N2Cl	-1
266	H26C12O4S,H26C11CxO4S,H26C12O4Sx,H26C12O3OxS,H26C10Cx2O4S,H26C9Cx3O4S	-1
266	H22C14N2O3,H22C13CxN2O3,H22C14N2O2Ox,H22C12Cx2N2O3,H22C11Cx3N2O3	-1,1
266	H27C12O4P,H27C11CxO4P,H27C12O3OxP,H27C10Cx2O4P,H27C9Cx3O4P	-1,1
266	H26C12O6,H26C11CxO6,H26C12O5Ox,H26C10Cx2O6,H26C9Cx3O6	1
266	H26C16O3,H26C15CxO3,H26C16O2Ox,H26C14Cx2O3,H26C13Cx3O3	-1,1
266	H26C15N2O2,H26C14CxN2O2,H26C15N2OOx,H26C13Cx2N2O2,H26C12Cx3N2O2	-1,1
266	H30C17O2,H30C16CxO2,H30C17OOx,H30C15Cx2O2,H30C14Cx3O2	-1,1
266	H34C18O,H34C17CxO,H34C16Cx2O,H34C15Cx3O	1
267	H12O10SCu,H12O10SxCu,H12O9OxSCu	-1
267	H10C12NO2SCl,H10C11CxNO2SCl,H10C12NO2SxCl,H10C12NO2SClx,H10C12NOOxSCl,H10C10Cx2NO2SCl,H10C9Cx3NO2SCl	-1
267	H17C9NO6S,H17C8CxNO6S,H17C9NO6Sx,H17C9NO5OxS,H17C7Cx2NO6S,H17C6Cx3NO6S	-1,1
267	H13C15N3S,H13C14CxN3S,H13C15N3Sx,H13C13Cx2N3S,H13C12Cx3N3S	-1
267	H17C9NO8,H17C8CxNO8,H17C9NO7Ox,H17C7Cx2NO8,H17C6Cx3NO8	-1,1
267	H13C10N5O4,H13C9CxN5O4,H13C10N5O3Ox,H13C8Cx2N5O4,H13C7Cx3N5O4	-1,1
267	H13C20N,H13C19CxN,H13C18Cx2N,H13C17Cx3N	1
267	H17C13NO5,H17C12CxNO5,H17C13NO4Ox,H17C11Cx2NO5,H17C10Cx3NO5	-1,1
267	H21C13NOSSi,H21C12CxNOSSi,H21C13NOSxSi,H21C11Cx2NOSSi,H21C10Cx3NOSSi	-1,1
267	H13C14N5O,H13C13CxN5O,H13C12Cx2N5O,H13C11Cx3N5O	1
267	H21C10NO7,H21C9CxNO7,H21C10NO6Ox,H21C8Cx2NO7,H21C7Cx3NO7	1
267	H21C14NO4,H21C13CxNO4,H21C14NO3Ox,H21C12Cx2NO4,H21C11Cx3NO4	-1,1
267	H21C13N3O3,H21C12CxN3O3,H21C13N3O2Ox,H21C11Cx2N3O3,H21C10Cx3N3O3	-1,1
267	H25C15NO3,H25C14CxNO3,H25C15NO2Ox,H25C13Cx2NO3,H25C12Cx3NO3	1
267	H29C16NO2,H29C15CxNO2,H29C14Cx2NO2,H29C13Cx3NO2	1
268	H4C14O6,H4C13CxO6,H4C14O5Ox,H4C12Cx2O6,H4C11Cx3O6	1
268	H16C8N2O4S2,H16C7CxN2O4S2,H16C8N2O4SSx,H16C8N2O3OxS2,H16C6Cx2N2O4S2,H16C5Cx3N2O4S2	-1,1
268	H12C16O2S,H12C15CxO2S,H12C16O2Sx,H12C16OOxS,H12C14Cx2O2S,H12C13Cx3O2S	-1,1
268	H12C14N4S,H12C13CxN4S,H12C14N4Sx,H12C12Cx2N4S,H12C11Cx3N4S	-1,1
268	H16C9O9,H16C8CxO9,H16C9O8Ox,H16C7Cx2O9,H16C6Cx3O9	-1,1
268	H12C10N4O5,H12C9CxN4O5,H12C10N4O4Ox,H12C8Cx2N4O5,H12C7Cx3N4O5	-1,1
268	H16C11N4S2,H16C10CxN4S2,H16C11N4SSx,H16C9Cx2N4S2,H16C8Cx3N4S2	-1,1
268	H16C12N2O3S,H16C11CxN2O3S,H16C12N2O3Sx,H16C12N2O2OxS,H16C10Cx2N2O3S,H16C9Cx3N2O3S	-1
268	H12C9N6O4,H12C8CxN6O4,H12C9N6O3Ox,H12C7Cx2N6O4,H12C6Cx3N6O4	-1,1
268	H16C13O6,H16C12CxO6,H16C13O5Ox,H16C11Cx2O6,H16C10Cx3O6	-1,1
268	H17C13N2O2Cl,H17C12CxN2O2Cl,H17C13N2O2Clx,H17C13N2OOxCl,H17C11Cx2N2O2Cl,H17C10Cx3N2O2Cl	-1
268	H16C16N2S,H16C15CxN2S,H16C16N2Sx,H16C14Cx2N2S,H16C13Cx3N2S	-1,1
268	H16C12N2O5,H16C11CxN2O5,H16C12N2O4Ox,H16C10Cx2N2O5,H16C9Cx3N2O5	-1,1
268	H17C15O3Na,H17C14CxO3Na,H17C15O2OxNa,H17C13Cx2O3Na,H17C12Cx3O3Na	-1,1
268	H16C11N4O4,H16C10CxN4O4,H16C11N4O3Ox,H16C9Cx2N4O4,H16C8Cx3N4O4	-1,1
268	H16C16N2O2,H16C15CxN2O2,H16C16N2OOx,H16C14Cx2N2O2,H16C13Cx3N2O2	-1,1
268	H20C14O5,H20C13CxO5,H20C14O4Ox,H20C12Cx2O5,H20C11Cx3O5	-1,1
268	H20C18O2,H20C17CxO2,H20C18OOx,H20C16Cx2O2,H20C15Cx3O2	1
268	H20C12N4O3,H20C11CxN4O3,H20C12N4O2Ox,H20C10Cx2N4O3,H20C9Cx3N4O3	-1,1
268	H24C15O4,H24C14CxO4,H24C15O3Ox,H24C13Cx2O4,H24C12Cx3O4	-1,1
268	H20C16N4,H20C15CxN4,H20C14Cx2N4,H20C13Cx3N4	1
268	H24C14N2O3,H24C13CxN2O3,H24C14N2O2Ox,H24C12Cx2N2O3,H24C11Cx3N2O3	-1,1
268	H24C19O,H24C18CxO,H24C17Cx2O,H24C16Cx3O	1
268	H28C16O3,H28C15CxO3,H28C16O2Ox,H28C14Cx2O3,H28C13Cx3O3	-1,1
268	H32C17O2,H32C16CxO2,H32C17OOx,H32C15Cx2O2,H32C14Cx3O2	-1,1
268	H36C18O,H36C17CxO,H36C16Cx2O,H36C15Cx3O	1
269	H11C14N3OS,H11C13CxN3OS,H11C14N3OSx,H11C12Cx2N3OS,H11C11Cx3N3OS	-1
269	H12C15N3Cl,H12C14CxN3Cl,H12C15N3Clx,H12C13Cx2N3Cl,H12C12Cx3N3Cl	-1
269	H15C12NO4S,H15C11CxNO4S,H15C12NO4Sx,H15C12NO3OxS,H15C10Cx2NO4S,H15C9Cx3NO4S	-1
269	H16C7N5O4Cl,H16C6CxN5O4Cl,H16C7N5O4Clx,H16C7N5O3OxCl,H16C5Cx2N5O4Cl,H16C4Cx3N5O4Cl	1
269	H15C11N3O5,H15C10CxN3O5,H15C11N3O4Ox,H15C9Cx2N3O5,H15C8Cx3N3O5	-1,1
269	H15C10N5O4,H15C9CxN5O4,H15C10N5O3Ox,H15C8Cx2N5O4,H15C7Cx3N5O4	1
269	H19C13NO5,H19C12CxNO5,H19C13NO4Ox,H19C11Cx2NO5,H19C10Cx3NO5	-1,1
269	H19C12N3O4,H19C11CxN3O4,H19C12N3O3Ox,H19C10Cx2N3O4,H19C9Cx3N3O4	1
269	H16BC19N,H16BC18CxN,H16BC17Cx2N,H16BC16Cx3N	1
269	H19C17NO2,H19C16CxNO2,H19C17NOOx,H19C15Cx2NO2,H19C14Cx3NO2	1
269	H24C15NOCl,H24C14CxNOCl,H24C15NOClx,H24C13Cx2NOCl,H24C12Cx3NOCl	-1,1
269	H23C14NO4,H23C13CxNO4,H23C14NO3Ox,H23C12Cx2NO4,H23C11Cx3NO4	-1,1
269	H27C15NO3,H27C14CxNO3,H27C15NO2Ox,H27C13Cx2NO3,H27C12Cx3NO3	-1,1
269	H31C16NO2,H31C15CxNO2,H31C14Cx2NO2,H31C13Cx3NO2	1
269	H35C17NO,H35C16CxNO,H35C15Cx2NO,H35C14Cx3NO	1
269	H39C18N,H39C17CxN,H39C16Cx2N,H39C15Cx3N	1
270	H12C12N2OCl2,H12C11CxN2OCl2,H12C12N2OClClx,H12C10Cx2N2OCl2,H12C9Cx3N2OCl2	-1,1
270	H10C15O5,H10C14CxO5,H10C15O4Ox,H10C13Cx2O5,H10C12Cx3O5	-1
270	H15C12N2OSCl,H15C11CxN2OSCl,H15C12N2OSxCl,H15C12N2OSClx,H15C10Cx2N2OSCl,H15C9Cx3N2OSCl	-1
270	H9C12N2O2F3,H9C11CxN2O2F3,H9C12N2OOxF3,H9C10Cx2N2O2F3,H9C9Cx3N2O2F3	-1
270	H14C11N2O4S,H14C10CxN2O4S,H14C11N2O4Sx,H14C11N2O3OxS,H14C9Cx2N2O4S,H14C8Cx3N2O4S	1
270	H14C16O2S,H14C15CxO2S,H14C16O2Sx,H14C16OOxS,H14C14Cx2O2S,H14C13Cx3O2S	-1,1
270	H14C9N6S2,H14C8CxN6S2,H14C9N6SSx,H14C7Cx2N6S2,H14C6Cx3N6S2	-1,1
270	H15C6N4O6P,H15C5CxN4O6P,H15C6N4O5OxP,H15C4Cx2N4O6P,H15C3Cx3N4O6P	-1
270	H14C12O7,H14C11CxO7,H14C12O6Ox,H14C10Cx2O7,H14C9Cx3O7	-1,1
270	H17C8NO7P,H17C7CxNO7P,H17C8NO6OxP,H17C6Cx2NO7P,H17C5Cx3NO7P	-1
270	H14C15N2OS,H14C14CxN2OS,H14C15N2OSx,H14C13Cx2N2OS,H14C12Cx3N2OS	-1
270	H14C11N2O6,H14C10CxN2O6,H14C11N2O5Ox,H14C9Cx2N2O6,H14C8Cx3N2O6	-1,1
270	H10C12N6O2,H10C11CxN6O2,H10C12N6OOx,H10C10Cx2N6O2,H10C9Cx3N6O2	-1,1
270	H19C9O7P,H19C8CxO7P,H19C9O6OxP,H19C7Cx2O7P,H19C6Cx3O7P	-1,1
270	H14C16O4,H14C15CxO4,H14C16O3Ox,H14C14Cx2O4,H14C13Cx3O4	-1
270	H18C9O9,H18C8CxO9,H18C9O8Ox,H18C7Cx2O9,H18C6Cx3O9	-1,1
270	H14C10N4O5,H14C9CxN4O5,H14C10N4O4Ox,H14C8Cx2N4O5,H14C7Cx3N4O5	-1,1
270	H10C10N10,H10C9CxN10,H10C8Cx2N10,H10C7Cx3N10	-1,1
270	H18C13O6,H18C12CxO6,H18C13O5Ox,H18C11Cx2O6,H18C10Cx3O6	-1,1
270	H18C12N2O5,H18C11CxN2O5,H18C12N2O4Ox,H18C10Cx2N2O5,H18C9Cx3N2O5	-1,1
270	H14C13N6O,H14C12CxN6O,H14C11Cx2N6O,H14C10Cx3N6O	-1,1
270	H18C16N2O2,H18C15CxN2O2,H18C16N2OOx,H18C14Cx2N2O2,H18C13Cx3N2O2	-1,1
270	H23C14O3P,H23C13CxO3P,H23C14O2OxP,H23C12Cx2O3P,H23C11Cx3O3P	-1,1
270	H22C13N2O4,H22C12CxN2O4,H22C13N2O3Ox,H22C11Cx2N2O4,H22C10Cx3N2O4	-1,1
270	H22C18O2,H22C17CxO2,H22C18OOx,H22C16Cx2O2,H22C15Cx3O2	1
270	H22C17N2O,H22C16CxN2O,H22C15Cx2N2O,H22C14Cx3N2O	1
270	H26C15O4,H26C14CxO4,H26C15O3Ox,H26C13Cx2O4,H26C12Cx3O4	-1,1
270	H26C19O,H26C18CxO,H26C17Cx2O,H26C16Cx3O	1
270	H30C16O3,H30C15CxO3,H30C16O2Ox,H30C14Cx2O3,H30C13Cx3O3	-1,1
270	H30C20,H30C19Cx,H30C18Cx2,H30C17Cx3	1
270	H34C17O2,H34C16CxO2,H34C17OOx,H34C15Cx2O2,H34C14Cx3O2	-1,1
270	H34C16N2O,H34C15CxN2O,H34C14Cx2N2O,H34C13Cx3N2O	1
271	H13C7NO4S3,H13C6CxNO4S3,H13C7NO4S2Sx,H13C7NO3OxS3,H13C5Cx2NO4S3,H13C4Cx3NO4S3	1
271	H8C11N3O2F3,H8C10CxN3O2F3,H8C11N3OOxF3,H8C9Cx2N3O2F3,H8C8Cx3N3O2F3	-1
271	H17C11N3O3S,H17C10CxN3O3S,H17C11N3O3Sx,H17C11N3O2OxS,H17C9Cx2N3O3S,H17C8Cx3N3O3S	-1,1
271	H17C12NO6,H17C11CxNO6,H17C12NO5Ox,H17C10Cx2NO6,H17C9Cx3NO6	-1,1
271	H17C11N3O5,H17C10CxN3O5,H17C11N3O4Ox,H17C9Cx2N3O5,H17C8Cx3N3O5	-1,1
271	H17C20N,H17C19CxN,H17C18Cx2N,H17C17Cx3N	1
271	H21C12N3O4,H21C11CxN3O4,H21C12N3O3Ox,H21C10Cx2N3O4,H21C9Cx3N3O4	-1,1
271	H21C17NO2,H21C16CxNO2,H21C17NOOx,H21C15Cx2NO2,H21C14Cx3NO2	-1,1
271	H21C11N5O3,H21C10CxN5O3,H21C11N5O2Ox,H21C9Cx2N5O3,H21C8Cx3N5O3	1
271	H25C14NO4,H25C13CxNO4,H25C14NO3Ox,H25C12Cx2NO4,H25C11Cx3NO4	-1,1
271	H25C18NO,H25C17CxNO,H25C16Cx2NO,H25C15Cx3NO	1
271	H29C15NO3,H29C14CxNO3,H29C15NO2Ox,H29C13Cx2NO3,H29C12Cx3NO3	-1,1
271	H33C16NO2,H33C15CxNO2,H33C16NOOx,H33C14Cx2NO2,H33C13Cx3NO2	1
271	H37C17NO,H37C16CxNO,H37C15Cx2NO	1
272	C2N2NaAu,CCxN2NaAu	1
272	H8C10O7S,H8C9CxO7S,H8C10O7Sx,H8C10O6OxS,H8C8Cx2O7S,H8C7Cx3O7S	-1
