m/z	count
663.273243101127	12
655.443601962317	12
653.209564154665	12
638.274624161572	12
638.273404010184	12
633.056137295871	12
621.200322192354	12
611.328324045327	12
610.418815930222	12
609.328338465938	12
609.325753092795	12
609.324721375264	12
607.348615827314	12
607.34632509274	12
555.082532201011	12
554.078456844243	12
330.850658295368	12
278.880096766293	12
252.903646739135	12
248.899878479764	12
226.91795356206	12
220.899712885222	12
218.905045811549	12
196.885374375071	12
188.98070931119	12
178.014321087446	12
159.893884824602	12
150.962468979808	12
142.980828146437	12
130.957692676354	12
127.001150649997	12
146.965953915855	11
852.575548640409	11
310.902111092275	11
844.474467798037	11
822.577993991486	11
172.83023857377	11
488.877612796981	11
488.877308415833	11
257.819158871846	11
174.839573143149	11
172.842511446378	11
156.975438841181	11
119.946929303631	11
100.00418475477	11
794.951467747755	11
745.956783650576	11
326.759504347304	11
310.901764705921	11
272.79541089034	11
272.795055519817	11
212.839459428199	11
178.815184679551	11
168.836292076847	11
144.869713966501	11
697.355496747949	11
752.386417906507	11
729.243605378083	11
728.374032064195	11
728.343335141907	11
705.212402726673	11
638.146160664874	11
633.190338606209	11
448.835466805346	11
798.35189365889	11
796.335752574677	11
796.335065873229	11
796.332408203998	11
795.329631220971	11
795.328089987646	11
794.339858972528	11
794.334032098513	11
792.337532687151	11
791.33196625772	11
791.323789954867	11
791.319226037537	11
789.461066418548	11
789.451792648515	11
788.413922406851	11
787.407341345666	11
786.399419315713	11
786.399117803643	11
785.432552908504	11
784.427298713262	11
784.424215795253	11
783.331951403383	11
783.331691264274	11
783.330567378317	11
783.274097960012	11
779.490579469781	11
779.217788782394	11
779.216810680552	11
777.491618304896	11
777.407486565469	11
773.31491070344	11
771.340976509705	11
767.309033984108	11
765.316903587557	11
763.457538854435	11
763.320835172716	11
763.231041947943	11
758.318526760621	11
756.355575157232	11
754.501833858812	11
754.387686886257	11
754.324734702336	11
753.3824333316	11
753.354297840127	11
752.486021563449	11
749.326616575929	11
747.379708106619	11
747.31041477295	11
745.230953383955	11
743.182378481449	11
741.308547080766	11
741.307551952852	11
741.306762113486	11
741.305068487866	11
740.306144512489	11
739.337516563073	11
739.337164734454	11
739.336345059425	11
739.301999301671	11
739.292548507743	11
738.754892357264	11
737.361397679516	11
737.357029139697	11
733.416104598657	11
732.832173981167	11
732.42545556628	11
731.436058436468	11
730.429818030619	11
729.370399631295	11
729.368395746739	11
729.245999506708	11
728.374469455246	11
728.150581586075	11
727.457295277969	11
727.456622314825	11
727.340377192063	11
727.248752035218	11
725.365040821783	11
724.374728871868	11
724.374360060766	11
723.373862250397	11
723.372538594329	11
723.372249118524	11
723.219823297065	11
714.821819037609	11
711.234855087067	11
707.326026354081	11
707.314294170105	11
705.316936190772	11
705.316468542926	11
705.211960735449	11
705.210316564791	11
705.207936993726	11
703.353254133918	11
701.385284788291	11
701.170621221089	11
698.781017632708	11
698.779965799867	11
697.256793646178	11
697.254506069295	11
692.323547665002	11
691.442345683273	11
691.385209638745	11
690.309927581179	11
690.306374852571	11
