m/z	count
540.447932288013	13
540.446337749463	13
540.446201671049	13
540.425475915253	13
538.43106304467	13
510.435816250376	13
441.368211952856	13
436.774856569495	13
427.389126262706	13
367.336062162572	13
363.293242314897	13
336.326602869039	13
325.248729904009	13
325.248300153684	13
290.284226983642	13
287.269327144648	13
287.269239036618	13
269.26689516346	13
241.70529369056	13
241.195110266381	13
230.990149702554	13
229.19511058238	13
223.012883727954	13
174.992085934163	13
172.976985480886	13
148.975745535512	13
143.996644565436	13
131.96131541487	13
296.243084024407	12
898.610184699271	12
854.58171124114	12
613.340483518981	12
926.816341140741	12
876.57286010832	12
716.551034535024	12
496.805643720099	12
870.784305002444	12
712.819357779907	12
598.488412036248	12
576.845266219805	12
526.431275902938	12
510.436539077298	12
510.436244413872	12
336.326104753424	12
234.221623174126	12
708.495128501779	12
703.212843751345	12
663.450048961607	12
621.417005632681	12
554.854848000711	12
508.856989008835	12
408.918908586374	12
394.352364133787	12
828.808760860478	12
827.840175729315	12
816.844484780893	12
814.606512310309	12
814.568601441186	12
787.827991276347	12
780.805887662344	12
728.465036511041	12
708.49289649099	12
702.413850160013	12
702.413480540255	12
699.854633679987	12
693.455742754761	12
668.619550366725	12
661.492485101138	12
661.491336009399	12
658.510012075304	12
650.849765918317	12
630.860534013824	12
630.860392462252	12
628.884392411244	12
628.858661283375	12
621.418014977252	12
598.488178436333	12
584.858219685105	12
584.472680833939	12
582.862578069522	12
573.440047145477	12
554.85457896043	12
554.462868993503	12
533.841936292128	12
520.435981936077	12
508.857884826954	12
496.805387890851	12
489.815961201844	12
467.802798410279	12
414.761631672505	12
370.735395511908	12
352.89747688961	12
314.341696644781	12
258.817765012691	12
256.820765956681	12
214.836140519257	12
214.836096679427	12
208.890939809756	12
558.421629759608	12
547.402730025149	12
532.384678377957	12
482.403318480708	12
336.325956849018	12
199.996673153403	12
190.979486367889	12
181.988259760048	12
158.912483948194	12
156.983984926811	12
139.017885521824	12
120.023605624033	12
114.558332320352	12
143.996818013903	12
714.602848437136	12
714.39943162979	12
708.489861984131	12
696.524747882999	12
656.53014228881	12
500.431567353129	12
385.306063610545	12
799.829138403629	12
799.828791980025	12
798.343803250805	12
798.343047034423	12
796.59512499296	12
795.333932013676	12
770.489995414822	12
769.484642986504	12
763.585130454349	12
760.459201148484	12
757.361367486615	12
746.511364379582	12
740.444369672658	12
739.440420893376	12
739.438708969462	12
739.37259219924	12
739.372061658499	12
737.569487669248	12
732.528419143367	12
725.859646279735	12
725.387083186525	12
717.470495492131	12
717.469863480452	12
717.464813334276	12
714.602231947861	12
709.332479449226	12
708.84207124622	12
707.505116693152	12
707.416716099679	12
705.83600719897	12
705.490928191307	12
705.478522869866	12
704.478992293502	12
704.478249319791	12
703.476192021237	12
703.475271873685	12
703.474905838196	12
703.474593477909	12
703.472569212339	12
703.472083783221	12
702.470560668291	12
702.467293512802	12
700.31369559162	12
699.376296542024	12
697.419006989781	12
697.414255701459	12
696.525226450306	12
696.421030782703	12
696.420114636681	12
695.41455589918	12
695.39890542049	12
695.396618514457	12
694.829854663727	12
687.19962574366	12
686.572456721363	12
686.570823332609	12
686.441189873411	12
686.411298355494	12
685.436156522563	12
685.434048701518	12
684.806317909432	12
684.803776049017	12
684.433239841999	12
679.475110289361	12
678.465049165903	12
677.481653507658	12
677.461341429749	12
677.458285154938	12
668.835577945386	12
668.54566268433	12
663.574008772138	12
663.571420895359	12
660.365795232004	12
657.47736786447	12
656.526061824604	12
652.498426877827	12
652.49822320332	12
651.424176418731	12
651.423957339195	12
651.423162091164	12
649.41087691712	12
649.409662946241	12
646.437730776418	12
644.361699805666	12
642.383502345175	12
642.383102426956	12
641.881878326587	12
639.305330926787	12
637.479704126618	12
635.147432410447	12
634.89302535732	12
633.410152797154	12
632.402276163768	12
631.400402558167	12
630.782880093162	12
628.500122955257	12
621.417406588743	12
617.437832821243	12
615.34653425239	12
615.345187343334	12
614.347867380991	12
614.344664798642	12
614.344288311885	12
614.342887368376	12
614.341074434351	12
613.558282071423	12
613.338887592901	12
612.483567053469	12
611.340161783326	12
609.362747909843	12
609.362425285349	12
609.361671968686	12
609.360550296507	12
599.428326419625	12
595.471079720658	12
594.348826812503	12
593.345111449622	12
589.443848201061	12
